         Step axial_stra... axial_stre... 
 8.100000e+03 -1.820724e-04 -1.772807e+07 
 8.110000e+03 -1.825624e-04 -1.776543e+07 
 8.120000e+03 -1.830524e-04 -1.780453e+07 
 8.130000e+03 -1.835423e-04 -1.784567e+07 
 8.140000e+03 -1.840323e-04 -1.788907e+07 
 8.150000e+03 -1.845223e-04 -1.793484e+07 
 8.160000e+03 -1.850123e-04 -1.798297e+07 
 8.170000e+03 -1.855022e-04 -1.803341e+07 
 8.180000e+03 -1.859922e-04 -1.808600e+07 
 8.190000e+03 -1.864822e-04 -1.814049e+07 
 8.200000e+03 -1.869722e-04 -1.819658e+07 
 8.210000e+03 -1.874622e-04 -1.825390e+07 
 8.220000e+03 -1.879521e-04 -1.831205e+07 
 8.230000e+03 -1.884421e-04 -1.837060e+07 
 8.240000e+03 -1.889321e-04 -1.842908e+07 
 8.250000e+03 -1.894221e-04 -1.848712e+07 
 8.260000e+03 -1.899121e-04 -1.854430e+07 
 8.270000e+03 -1.904020e-04 -1.860028e+07 
 8.280000e+03 -1.908920e-04 -1.865470e+07 
 8.290000e+03 -1.913820e-04 -1.870729e+07 
 8.300000e+03 -1.918720e-04 -1.875783e+07 
 8.310000e+03 -1.923620e-04 -1.880619e+07 
 8.320000e+03 -1.928519e-04 -1.885231e+07 
 8.330000e+03 -1.933419e-04 -1.889626e+07 
 8.340000e+03 -1.938319e-04 -1.893821e+07 
 8.350000e+03 -1.943219e-04 -1.897844e+07 
 8.360000e+03 -1.948118e-04 -1.901732e+07 
 8.370000e+03 -1.953018e-04 -1.905526e+07 
 8.380000e+03 -1.957918e-04 -1.909273e+07 
 8.390000e+03 -1.962818e-04 -1.913026e+07 
 8.400000e+03 -1.967718e-04 -1.916832e+07 
 8.410000e+03 -1.972617e-04 -1.920741e+07 
 8.420000e+03 -1.977517e-04 -1.924792e+07 
 8.430000e+03 -1.982417e-04 -1.929010e+07 
 8.440000e+03 -1.987317e-04 -1.933415e+07 
 8.450000e+03 -1.992217e-04 -1.938017e+07 
 8.460000e+03 -1.997116e-04 -1.942815e+07 
 8.470000e+03 -2.002016e-04 -1.947799e+07 
 8.480000e+03 -2.006916e-04 -1.952954e+07 
 8.490000e+03 -2.011816e-04 -1.958255e+07 
 8.500000e+03 -2.016716e-04 -1.963675e+07 
 8.510000e+03 -2.021615e-04 -1.969181e+07 
 8.520000e+03 -2.026515e-04 -1.974738e+07 
 8.530000e+03 -2.031415e-04 -1.980313e+07 
 8.540000e+03 -2.036315e-04 -1.985875e+07 
 8.550000e+03 -2.041215e-04 -1.991396e+07 
 8.560000e+03 -2.046114e-04 -1.996849e+07 
 8.570000e+03 -2.051014e-04 -2.002207e+07 
 8.580000e+03 -2.055914e-04 -2.007446e+07 
 8.590000e+03 -2.060814e-04 -2.012547e+07 
 8.600000e+03 -2.065714e-04 -2.017494e+07 
 8.610000e+03 -2.070613e-04 -2.022280e+07 
 8.620000e+03 -2.075513e-04 -2.026900e+07 
 8.630000e+03 -2.080413e-04 -2.031360e+07 
 8.640000e+03 -2.085313e-04 -2.035677e+07 
 8.650000e+03 -2.090213e-04 -2.039869e+07 
 8.660000e+03 -2.095112e-04 -2.043965e+07 
 8.670000e+03 -2.100012e-04 -2.047994e+07 
 8.680000e+03 -2.104912e-04 -2.051992e+07 
 8.690000e+03 -2.109812e-04 -2.055997e+07 
 8.700000e+03 -2.114712e-04 -2.060053e+07 
 8.710000e+03 -2.119611e-04 -2.064202e+07 
 8.720000e+03 -2.124511e-04 -2.068475e+07 
 8.730000e+03 -2.129411e-04 -2.072896e+07 
 8.740000e+03 -2.134311e-04 -2.077478e+07 
 8.750000e+03 -2.139211e-04 -2.082227e+07 
 8.760000e+03 -2.144110e-04 -2.087139e+07 
 8.770000e+03 -2.149010e-04 -2.092202e+07 
 8.780000e+03 -2.153910e-04 -2.097397e+07 
 8.790000e+03 -2.158810e-04 -2.102699e+07 
 8.800000e+03 -2.163710e-04 -2.108079e+07 
 8.810000e+03 -2.168609e-04 -2.113503e+07 
 8.820000e+03 -2.173509e-04 -2.118938e+07 
 8.830000e+03 -2.178409e-04 -2.124357e+07 
 8.840000e+03 -2.183309e-04 -2.129732e+07 
 8.850000e+03 -2.188209e-04 -2.135042e+07 
 8.860000e+03 -2.193109e-04 -2.140266e+07 
 8.870000e+03 -2.198008e-04 -2.145386e+07 
 8.880000e+03 -2.202908e-04 -2.150387e+07 
 8.890000e+03 -2.207808e-04 -2.155262e+07 
 8.900000e+03 -2.212708e-04 -2.160006e+07 
 8.910000e+03 -2.217608e-04 -2.164619e+07 
 8.920000e+03 -2.222507e-04 -2.169106e+07 
 8.930000e+03 -2.227407e-04 -2.173476e+07 
 8.940000e+03 -2.232307e-04 -2.177748e+07 
 8.950000e+03 -2.237207e-04 -2.181941e+07 
 8.960000e+03 -2.242107e-04 -2.186078e+07 
 8.970000e+03 -2.247006e-04 -2.190188e+07 
 8.980000e+03 -2.251906e-04 -2.194303e+07 
 8.990000e+03 -2.256806e-04 -2.198459e+07 
 9.000000e+03 -2.261706e-04 -2.202682e+07 
 9.010000e+03 -2.266606e-04 -2.207006e+07 
 9.020000e+03 -2.271505e-04 -2.211458e+07 
 9.030000e+03 -2.276405e-04 -2.216054e+07 
 9.040000e+03 -2.281305e-04 -2.220806e+07 
 9.050000e+03 -2.286205e-04 -2.225711e+07 
 9.060000e+03 -2.291105e-04 -2.230762e+07 
 9.070000e+03 -2.296005e-04 -2.235944e+07 
 9.080000e+03 -2.300904e-04 -2.241235e+07 
 9.090000e+03 -2.305804e-04 -2.246608e+07 
 9.100000e+03 -2.310704e-04 -2.252033e+07 
 9.110000e+03 -2.315604e-04 -2.257477e+07 
 9.120000e+03 -2.320504e-04 -2.262911e+07 
 9.130000e+03 -2.325403e-04 -2.268308e+07 
 9.140000e+03 -2.330303e-04 -2.273644e+07 
 9.150000e+03 -2.335203e-04 -2.278895e+07 
 9.160000e+03 -2.340103e-04 -2.284042e+07 
 9.170000e+03 -2.345003e-04 -2.289070e+07 
 9.180000e+03 -2.349903e-04 -2.293969e+07 
 9.190000e+03 -2.354802e-04 -2.298734e+07 
 9.200000e+03 -2.359702e-04 -2.303368e+07 
 9.210000e+03 -2.364602e-04 -2.307874e+07 
 9.220000e+03 -2.369502e-04 -2.312264e+07 
 9.230000e+03 -2.374402e-04 -2.316549e+07 
 9.240000e+03 -2.379301e-04 -2.320748e+07 
 9.250000e+03 -2.384201e-04 -2.324882e+07 
 9.260000e+03 -2.389101e-04 -2.328974e+07 
 9.270000e+03 -2.394001e-04 -2.333052e+07 
 9.280000e+03 -2.398901e-04 -2.337150e+07 
 9.290000e+03 -2.403801e-04 -2.341300e+07 
 9.300000e+03 -2.408700e-04 -2.345532e+07 
 9.310000e+03 -2.413600e-04 -2.349875e+07 
 9.320000e+03 -2.418500e-04 -2.354349e+07 
 9.330000e+03 -2.423400e-04 -2.358974e+07 
 9.340000e+03 -2.428300e-04 -2.363756e+07 
 9.350000e+03 -2.433199e-04 -2.368695e+07 
