         Step axial_stra... axial_stre... 
------------- ------------- ------------- 
         Step axial_stra... axial_stre... 
------------- ------------- ------------- 
 6.710000e+03 -1.534460e-04 -8.772700e+06 
 6.720000e+03 -1.541057e-04 -8.821814e+06 
 6.730000e+03 -1.547654e-04 -8.868743e+06 
 6.740000e+03 -1.554251e-04 -8.913051e+06 
 6.750000e+03 -1.560849e-04 -8.954463e+06 
 6.760000e+03 -1.567446e-04 -8.992885e+06 
 6.770000e+03 -1.574043e-04 -9.028410e+06 
 6.780000e+03 -1.580640e-04 -9.061297e+06 
 6.790000e+03 -1.587237e-04 -9.091899e+06 
 6.800000e+03 -1.593834e-04 -9.120617e+06 
 6.810000e+03 -1.600431e-04 -9.147947e+06 
 6.820000e+03 -1.607029e-04 -9.174374e+06 
 6.830000e+03 -1.613626e-04 -9.200366e+06 
 6.840000e+03 -1.620223e-04 -9.226329e+06 
 6.850000e+03 -1.626820e-04 -9.252563e+06 
 6.860000e+03 -1.633417e-04 -9.279295e+06 
 6.870000e+03 -1.640014e-04 -9.306746e+06 
 6.880000e+03 -1.646611e-04 -9.335124e+06 
 6.890000e+03 -1.653209e-04 -9.364605e+06 
 6.900000e+03 -1.659806e-04 -9.395424e+06 
 6.910000e+03 -1.666403e-04 -9.427877e+06 
 6.920000e+03 -1.673000e-04 -9.462355e+06 
 6.930000e+03 -1.679597e-04 -9.499241e+06 
 6.940000e+03 -1.686194e-04 -9.538843e+06 
 6.950000e+03 -1.692792e-04 -9.581371e+06 
 6.960000e+03 -1.699389e-04 -9.626822e+06 
 6.970000e+03 -1.705986e-04 -9.674922e+06 
 6.980000e+03 -1.712583e-04 -9.725190e+06 
 6.990000e+03 -1.719180e-04 -9.776926e+06 
 7.000000e+03 -1.725777e-04 -9.829283e+06 
 7.010000e+03 -1.732375e-04 -9.881390e+06 
 7.020000e+03 -1.738972e-04 -9.932537e+06 
 7.030000e+03 -1.745569e-04 -9.982063e+06 
 7.040000e+03 -1.752166e-04 -1.002943e+07 
 7.050000e+03 -1.758763e-04 -1.007428e+07 
 7.060000e+03 -1.765360e-04 -1.011639e+07 
 7.070000e+03 -1.771958e-04 -1.015570e+07 
 7.080000e+03 -1.778555e-04 -1.019228e+07 
 7.090000e+03 -1.785152e-04 -1.022635e+07 
 7.100000e+03 -1.791749e-04 -1.025823e+07 
 7.110000e+03 -1.798346e-04 -1.028829e+07 
 7.120000e+03 -1.804943e-04 -1.031689e+07 
 7.130000e+03 -1.811541e-04 -1.034441e+07 
 7.140000e+03 -1.818138e-04 -1.037120e+07 
 7.150000e+03 -1.824735e-04 -1.039759e+07 
 7.160000e+03 -1.831332e-04 -1.042385e+07 
 7.170000e+03 -1.837929e-04 -1.045023e+07 
 7.180000e+03 -1.844527e-04 -1.047702e+07 
 7.190000e+03 -1.851124e-04 -1.050452e+07 
 7.200000e+03 -1.857721e-04 -1.053306e+07 
 7.210000e+03 -1.864318e-04 -1.056300e+07 
 7.220000e+03 -1.870915e-04 -1.059473e+07 
 7.230000e+03 -1.877513e-04 -1.062861e+07 
 7.240000e+03 -1.884110e-04 -1.066498e+07 
 7.250000e+03 -1.890707e-04 -1.070403e+07 
 7.260000e+03 -1.897304e-04 -1.074583e+07 
 7.270000e+03 -1.903901e-04 -1.079028e+07 
 7.280000e+03 -1.910499e-04 -1.083706e+07 
 7.290000e+03 -1.917096e-04 -1.088572e+07 
 7.300000e+03 -1.923693e-04 -1.093564e+07 
 7.310000e+03 -1.930290e-04 -1.098613e+07 
